net,length_um
clknet_1_1__leaf_clk,74.16µm
_037_,60µm
_020_,59.175µm
clknet_1_0__leaf_clk,58.5µm
net12,49.385µm
net6,46.18µm
data_counter_inst.inc,43.54µm
_034_,38.04µm
clknet_0_clk,37.24µm
net2,36.9µm
net13,35.98µm
clk,33.99µm
net9,31.14µm
data_edge_detector_inst.state\[0\],29.46µm
_023_,28.02µm
data_edge_detector_inst.input_buffer\[0\],27.6µm
net16,26.9µm
_003_,26.785µm
data_edge_detector_inst.reset_counter\[0\],26.56µm
net7,26.08µm
net20,24.68µm
_044_,23.44µm
net5,23.4µm
net8,23.4µm
net4,21.56µm
_033_,20.84µm
_017_,19.44µm
_025_,19.4µm
temp_reset,18.02µm
net25,17.82µm
_038_,17.3µm
net10,17.02µm
_018_,16.42µm
_022_,14.425µm
data_edge_detector_inst.reset_counter\[1\],14.06µm
_027_,13.78µm
_032_,13.72µm
_024_,13.48µm
_031_,13.26µm
start,12.89µm
net1,12.52µm
_009_,12.285µm
data_edge_detector_inst.input_buffer\[1\],11.28µm
_045_,10.98µm
running,10.8µm
ready,10.51µm
count_out[0],9.88µm
net3,9.84µm
data_in,9.71µm
count_out[6],9.17µm
_013_,9.12µm
net11,8.86µm
count_out[1],8.5µm
count_out[2],8.01µm
net26,7.56µm
net17,7.52µm
_036_,6.94µm
_011_,6.475µm
net18,6.32µm
_035_,6.18µm
_012_,6.165µm
rst,6.09µm
_043_,5.94µm
_041_,5.92µm
_002_,5.895µm
net15,4.87µm
count_out[5],4.61µm
controller_inst.clear,4.44µm
_004_,4.425µm
net22,4.385µm
_001_,4.295µm
net23,4.14µm
_021_,4.12µm
count_out[3],3.93µm
count_out[4],3.93µm
net19,3.755µm
net24,3.68µm
_010_,3.54µm
_042_,3.4µm
_047_,3.38µm
_028_,2.96µm
_039_,2.86µm
_014_,2.585µm
_006_,2.545µm
_030_,2.52µm
_015_,2.42µm
_019_,2.4µm
_026_,2.4µm
_008_,2.3µm
_029_,2.16µm
_048_,2.16µm
net21,2.16µm
_000_,1.865µm
_005_,1.865µm
_007_,1.865µm
_046_,1.84µm
_016_,1.685µm
_040_,1.68µm
net14,0.46µm
