Instance name, X location, Y location, Voltage
FILLER_0_4_19, 13.68, 19.04, 1.79996
_055_, 33.23, 19.04, 1.79995
_096_, 33.23, 19.04, 1.79995
_114_, 33.23, 19.04, 1.79995
FILLER_0_3_48, 33.23, 19.04, 1.79995
FILLER_0_3_69, 33.23, 19.04, 1.79995
_099_, 5.52, 13.6, 1.79996
PHY_EDGE_ROW_0_Left_14, 5.52, 13.6, 1.79996
PHY_EDGE_ROW_1_Left_15, 5.52, 13.6, 1.79996
FILLER_0_1_3, 5.52, 13.6, 1.79996
PHY_EDGE_ROW_0_Right_0, 44.62, 13.6, 1.79997
PHY_EDGE_ROW_1_Right_1, 44.62, 13.6, 1.79997
FILLER_0_0_75, 44.62, 13.6, 1.79997
FILLER_0_1_78, 44.62, 13.6, 1.79997
_108_, 13.68, 13.6, 1.79996
output4, 13.68, 13.6, 1.79996
output12, 13.68, 13.6, 1.79996
hold6, 13.68, 13.6, 1.79996
_049_, 33.23, 13.6, 1.79997
_093_, 33.23, 13.6, 1.79997
_094_, 33.23, 13.6, 1.79997
_095_, 33.23, 13.6, 1.79997
_113_, 33.23, 13.6, 1.79997
FILLER_0_0_52, 33.23, 13.6, 1.79997
FILLER_0_2_67, 33.23, 13.6, 1.79997

