Instance name, X location, Y location, Voltage
_062_, 15.33, 21.76, 2.88692e-05
_063_, 15.33, 21.76, 2.88692e-05
FILLER_0_4_19, 15.33, 21.76, 2.88692e-05
_085_, 34.88, 21.76, 2.51511e-05
_096_, 34.88, 21.76, 2.51511e-05
_097_, 34.88, 21.76, 2.51511e-05
_114_, 34.88, 21.76, 2.51511e-05
output10, 34.88, 21.76, 2.51511e-05
FILLER_0_3_57, 34.88, 21.76, 2.51511e-05
FILLER_0_5_71, 34.88, 21.76, 2.51511e-05
_102_, 5.52, 16.32, 8.38897e-05
PHY_EDGE_ROW_1_Left_15, 5.52, 16.32, 8.38897e-05
PHY_EDGE_ROW_2_Left_16, 5.52, 16.32, 8.38897e-05
PHY_EDGE_ROW_1_Right_1, 44.62, 16.32, 6.89941e-05
PHY_EDGE_ROW_2_Right_2, 44.62, 16.32, 6.89941e-05
output9, 44.62, 16.32, 6.89941e-05
FILLER_0_1_78, 44.62, 16.32, 6.89941e-05
_075_, 15.33, 16.32, 7.67956e-05
_077_, 15.33, 16.32, 7.67956e-05
_078_, 15.33, 16.32, 7.67956e-05
_108_, 15.33, 16.32, 7.67956e-05
FILLER_0_1_11, 15.33, 16.32, 7.67956e-05
FILLER_0_3_27, 15.33, 16.32, 7.67956e-05
_058_, 34.88, 16.32, 6.89941e-05
_093_, 34.88, 16.32, 6.89941e-05
_094_, 34.88, 16.32, 6.89941e-05
_095_, 34.88, 16.32, 6.89941e-05
_113_, 34.88, 16.32, 6.89941e-05
hold13, 34.88, 16.32, 6.89941e-05
FILLER_0_1_57, 34.88, 16.32, 6.89941e-05
FILLER_0_2_69, 34.88, 16.32, 6.89941e-05
FILLER_0_3_70, 34.88, 16.32, 6.89941e-05
PHY_EDGE_ROW_0_Left_14, 5.52, 10.88, 1.42052e-05
FILLER_0_1_3, 5.52, 10.88, 1.42052e-05
PHY_EDGE_ROW_0_Right_0, 44.62, 10.88, 1.15372e-05
_049_, 15.33, 10.88, 1.42052e-05
_079_, 15.33, 10.88, 1.42052e-05
output12, 15.33, 10.88, 1.42052e-05
hold6, 15.33, 10.88, 1.42052e-05
FILLER_0_0_21, 15.33, 10.88, 1.42052e-05

