Instance name, X location, Y location, Voltage
_068_, 21.84, 46.24, 1.79999
_069_, 21.84, 46.24, 1.79999
input1, 21.84, 46.24, 1.79999
FILLER_0_12_29, 21.84, 46.24, 1.79999
FILLER_0_13_29, 21.84, 46.24, 1.79999
FILLER_0_13_37, 21.84, 46.24, 1.79999
_051_, 21.84, 40.8, 1.79996
_056_, 21.84, 40.8, 1.79996
_070_, 21.84, 40.8, 1.79996
_104_, 21.84, 40.8, 1.79996
hold7, 21.84, 40.8, 1.79996
hold9, 21.84, 40.8, 1.79996
_055_, 21.84, 35.36, 1.79993
_066_, 21.84, 35.36, 1.79993
_100_, 21.84, 35.36, 1.79993
_106_, 21.84, 35.36, 1.79993
clkbuf_1_1__f_clk, 21.84, 35.36, 1.79993
hold14, 21.84, 35.36, 1.79993
FILLER_0_10_43, 21.84, 35.36, 1.79993
_052_, 21.84, 29.92, 1.79995
clkbuf_0_clk, 21.84, 29.92, 1.79995
hold1, 21.84, 29.92, 1.79995
hold12, 21.84, 29.92, 1.79995
_062_, 21.84, 24.48, 1.79998
_063_, 21.84, 24.48, 1.79998
_076_, 21.84, 24.48, 1.79998
_087_, 21.84, 24.48, 1.79998
_089_, 21.84, 24.48, 1.79998
FILLER_0_5_46, 21.84, 24.48, 1.79998
FILLER_0_6_41, 21.84, 24.48, 1.79998
_059_, 21.84, 19.04, 1.79995
_060_, 21.84, 19.04, 1.79995
_077_, 21.84, 19.04, 1.79995
_081_, 21.84, 19.04, 1.79995
_082_, 21.84, 19.04, 1.79995
_088_, 21.84, 19.04, 1.79995
clkbuf_1_0__f_clk, 21.84, 19.04, 1.79995
FILLER_0_3_27, 21.84, 19.04, 1.79995
_079_, 21.84, 13.6, 1.79996
_080_, 21.84, 13.6, 1.79996
_109_, 21.84, 13.6, 1.79996
output5, 21.84, 13.6, 1.79996
hold6, 21.84, 13.6, 1.79996
PHY_EDGE_ROW_12_Left_26, 5.52, 46.24, 1.79999
PHY_EDGE_ROW_13_Left_27, 5.52, 46.24, 1.79999
PHY_EDGE_ROW_12_Right_12, 44.62, 46.24, 1.79999
PHY_EDGE_ROW_13_Right_13, 44.62, 46.24, 1.79999
FILLER_0_12_79, 44.62, 46.24, 1.79999
FILLER_0_13_79, 44.62, 46.24, 1.79999
