Instance name, X location, Y location, Voltage
hold2, 33.23, 46.24, 1.79999
FILLER_0_13_50, 33.23, 46.24, 1.79999
_107_, 5.52, 40.8, 1.79994
PHY_EDGE_ROW_10_Left_24, 5.52, 40.8, 1.79994
PHY_EDGE_ROW_11_Left_25, 5.52, 40.8, 1.79994
input2, 5.52, 40.8, 1.79994
FILLER_0_11_7, 5.52, 40.8, 1.79994
PHY_EDGE_ROW_10_Right_10, 44.62, 40.8, 1.79995
PHY_EDGE_ROW_11_Right_11, 44.62, 40.8, 1.79995
FILLER_0_10_78, 44.62, 40.8, 1.79995
FILLER_0_11_73, 44.62, 40.8, 1.79995
_067_, 13.68, 40.8, 1.79995
_098_, 13.68, 40.8, 1.79995
hold5, 13.68, 40.8, 1.79995
hold10, 13.68, 40.8, 1.79995
_105_, 33.23, 40.8, 1.79995
hold3, 33.23, 40.8, 1.79995
FILLER_0_11_51, 33.23, 40.8, 1.79995
FILLER_0_12_71, 33.23, 40.8, 1.79995
_074_, 5.52, 35.36, 1.79992
PHY_EDGE_ROW_8_Left_22, 5.52, 35.36, 1.79992
PHY_EDGE_ROW_9_Left_23, 5.52, 35.36, 1.79992
output13, 5.52, 35.36, 1.79992
PHY_EDGE_ROW_8_Right_8, 44.62, 35.36, 1.79992
PHY_EDGE_ROW_9_Right_9, 44.62, 35.36, 1.79992
output6, 44.62, 35.36, 1.79992
output7, 44.62, 35.36, 1.79992
_050_, 13.68, 35.36, 1.79992
_064_, 13.68, 35.36, 1.79992
_071_, 13.68, 35.36, 1.79992
_072_, 13.68, 35.36, 1.79992
hold8, 13.68, 35.36, 1.79992
_111_, 33.23, 35.36, 1.79992
FILLER_0_9_69, 33.23, 35.36, 1.79992
_065_, 5.52, 29.92, 1.79993
_099_, 5.52, 29.92, 1.79993
PHY_EDGE_ROW_6_Left_20, 5.52, 29.92, 1.79993
PHY_EDGE_ROW_7_Left_21, 5.52, 29.92, 1.79993
FILLER_0_7_3, 5.52, 29.92, 1.79993
PHY_EDGE_ROW_6_Right_6, 44.62, 29.92, 1.79994
PHY_EDGE_ROW_7_Right_7, 44.62, 29.92, 1.79994
_054_, 13.68, 29.92, 1.79994
_073_, 13.68, 29.92, 1.79994
hold11, 13.68, 29.92, 1.79994
_057_, 33.23, 29.92, 1.79994
_083_, 33.23, 29.92, 1.79994
_086_, 33.23, 29.92, 1.79994
_090_, 33.23, 29.92, 1.79994
_112_, 33.23, 29.92, 1.79994
FILLER_0_8_70, 33.23, 29.92, 1.79994
_061_, 5.52, 24.48, 1.79997
PHY_EDGE_ROW_4_Left_18, 5.52, 24.48, 1.79997
PHY_EDGE_ROW_5_Left_19, 5.52, 24.48, 1.79997
input3, 5.52, 24.48, 1.79997
output11, 5.52, 24.48, 1.79997
hold4, 5.52, 24.48, 1.79997
PHY_EDGE_ROW_4_Right_4, 44.62, 24.48, 1.79997
PHY_EDGE_ROW_5_Right_5, 44.62, 24.48, 1.79997
output8, 44.62, 24.48, 1.79997
output10, 44.62, 24.48, 1.79997
_053_, 13.68, 24.48, 1.79997
_103_, 13.68, 24.48, 1.79997
FILLER_0_6_23, 13.68, 24.48, 1.79997
_084_, 33.23, 24.48, 1.79997
_085_, 33.23, 24.48, 1.79997
_091_, 33.23, 24.48, 1.79997
_092_, 33.23, 24.48, 1.79997
_097_, 33.23, 24.48, 1.79997
_110_, 33.23, 24.48, 1.79997
FILLER_0_4_52, 33.23, 24.48, 1.79997
FILLER_0_5_71, 33.23, 24.48, 1.79997
_101_, 5.52, 19.04, 1.79994
PHY_EDGE_ROW_2_Left_16, 5.52, 19.04, 1.79994
PHY_EDGE_ROW_3_Left_17, 5.52, 19.04, 1.79994
PHY_EDGE_ROW_2_Right_2, 44.62, 19.04, 1.79994
PHY_EDGE_ROW_3_Right_3, 44.62, 19.04, 1.79994
output9, 44.62, 19.04, 1.79994
hold13, 44.62, 19.04, 1.79994
FILLER_0_4_19, 13.68, 19.04, 1.79994
_058_, 33.23, 19.04, 1.79994
_093_, 33.23, 19.04, 1.79994
_094_, 33.23, 19.04, 1.79994
_096_, 33.23, 19.04, 1.79994
_114_, 33.23, 19.04, 1.79994
FILLER_0_3_50, 33.23, 19.04, 1.79994
FILLER_0_3_57, 33.23, 19.04, 1.79994
FILLER_0_3_70, 33.23, 19.04, 1.79994
_102_, 5.52, 13.6, 1.79994
PHY_EDGE_ROW_0_Left_14, 5.52, 13.6, 1.79994
PHY_EDGE_ROW_1_Left_15, 5.52, 13.6, 1.79994
FILLER_0_1_3, 5.52, 13.6, 1.79994
PHY_EDGE_ROW_0_Right_0, 44.62, 13.6, 1.79995
PHY_EDGE_ROW_1_Right_1, 44.62, 13.6, 1.79995
FILLER_0_1_78, 44.62, 13.6, 1.79995
_049_, 13.68, 13.6, 1.79995
_075_, 13.68, 13.6, 1.79995
_078_, 13.68, 13.6, 1.79995
_108_, 13.68, 13.6, 1.79995
output12, 13.68, 13.6, 1.79995
FILLER_0_0_21, 13.68, 13.6, 1.79995
FILLER_0_1_11, 13.68, 13.6, 1.79995
_095_, 33.23, 13.6, 1.79995
_113_, 33.23, 13.6, 1.79995
output4, 33.23, 13.6, 1.79995
FILLER_0_1_53, 33.23, 13.6, 1.79995
FILLER_0_1_57, 33.23, 13.6, 1.79995
FILLER_0_2_69, 33.23, 13.6, 1.79995

